All Students,Male,Female,General Education Students,Students with Disabilities,American Indian or Alaska Native,Asian or Native Hawaiian/Other Pacific Islander,Black or African American,Hispanic or Latino,White,Multiracial,Economically Disadvantaged,Not Economically Disadvantaged,English Language Learner,NonEnglish Language Learner,Not in Foster Care,Homeless,Not Homeless,Migrant,Not Migrant,Parent Not in Armed Forces
92%,95%,86%,99%,,,,,80%,100%,,100%,97%,,95%,,,92%,,92%,92%
96%,71%,100%,79%,88%,,,,100%,97%,,92%,84%,,,96%,,,,96%,96%
78%,92%,97%,,90%,,,,86%,98%,,88%,94%,,90%,78%,,79%,,78%,78%
96%,96%,97%,98%,86%,,,,84%,99%,,87%,97%,,,96%,,96%,,96%,96%
97%,96%,97%,99%,74%,,,,91%,,,88%,98%,,97%,97%,,,,97%,97%
97%,92%,94%,96%,93%,,,,84%,100%,,94%,97%,,,97%,,,,97%,97%
95%,85%,94%,91%,,,,,100%,,,83%,89%,,97%,95%,,,,,
89%,97%,100%,96%,88%,,,,100%,98%,,88%,97%,,96%,,,,,89%,89%
96%,75%,99%,,,,,,95%,90%,,70%,88%,,97%,96%,,,,96%,96%
86%,95%,,99%,100%,,,,89%,100%,,80%,99%,,,86%,,,,86%,86%
97%,,94%,,,,,,100%,,,81%,90%,,,97%,,,,97%,97%
90%,84%,93%,87%,81%,,,,100%,99%,,74%,96%,,90%,90%,,90%,,90%,90%
88%,69%,98%,,63%,,,,88%,82%,,94%,75%,,98%,88%,,,,,88%
78%,92%,88%,98%,63%,,,,92%,88%,,76%,99%,,98%,78%,,,,,78%
95%,78%,90%,87%,64%,,,,92%,81%,,68%,95%,,,95%,,95%,,95%,95%
83%,84%,92%,93%,50%,,,,87%,76%,,100%,83%,,88%,83%,,83%,,,83%
88%,70%,90%,84%,83%,,,,92%,,,40%,91%,,88%,88%,,88%,,88%,88%
82%,65%,100%,82%,50%,,,,,75%,,86%,89%,,83%,,,83%,,,
78%,91%,64%,100%,81%,,,,,88%,,90%,91%,,,78%,,,,78%,78%
95%,80%,93%,83%,100%,,,,,95%,,89%,81%,,95%,95%,,95%,,95%,95%
74%,84%,97%,92%,83%,,,,,,,86%,92%,,74%,74%,,74%,,74%,74%
89%,89%,90%,91%,75%,,,,,,,84%,93%,,,,,90%,,89%,89%
92%,89%,97%,90%,73%,,,,,,,90%,90%,,,92%,,,,92%,92%
89%,90%,88%,96%,77%,,,,,94%,,76%,100%,,89%,89%,,89%,,89%,
93%,91%,95%,92%,54%,,,,,84%,,93%,93%,,93%,93%,,93%,,93%,93%
89%,93%,93%,98%,80%,,,,,,,58%,97%,,89%,89%,,,,89%,89%
94%,71%,89%,90%,58%,,,,,71%,,47%,94%,,94%,94%,,,,94%,94%
84%,95%,74%,94%,50%,,,,,67%,,84%,91%,,84%,84%,,,,84%,84%
92%,69%,,77%,92%,,,,,,,88%,79%,,92%,92%,,92%,,92%,92%
71%,,90%,43%,72%,,,,,93%,,95%,93%,,,,,72%,,71%,71%
47%,90%,94%,89%,71%,,,,,97%,,96%,94%,,47%,47%,,47%,,47%,47%
90%,91%,97%,95%,50%,,,,,85%,,86%,95%,,90%,90%,,90%,,90%,90%
92%,94%,95%,97%,64%,,,,,92%,,85%,76%,,,,,92%,,92%,92%
95%,79%,97%,97%,70%,,,,,93%,,93%,96%,,,,,95%,,95%,95%
86%,90%,91%,98%,81%,,,,,95%,,81%,91%,,86%,86%,,,,86%,86%
93%,85%,97%,93%,67%,,,,,89%,,90%,95%,,93%,93%,,,,93%,93%
88%,92%,95%,96%,65%,,,,,89%,,90%,92%,,90%,,,88%,,,88%
94%,82%,93%,93%,79%,,,,,95%,,86%,92%,,94%,94%,,94%,,94%,94%
88%,90%,97%,96%,76%,,,,,92%,,80%,97%,,,88%,,,,88%,88%
91%,94%,96%,99%,58%,,,,,88%,,91%,98%,,,91%,,91%,,91%,91%
96%,86%,86%,96%,70%,,,,,92%,,84%,91%,,,96%,,,,96%,96%
92%,86%,93%,93%,67%,,,,,84%,,,92%,,,,,,,92%,92%
86%,91%,89%,96%,,,,,,,,92%,83%,,,86%,,88%,,86%,86%
92%,77%,100%,88%,80%,,,,,,,80%,,,,92%,,,,92%,92%
84%,63%,85%,,44%,,,,,88%,,80%,88%,,84%,84%,,84%,,84%,84%
86%,95%,91%,91%,,,,,,89%,,91%,89%,,86%,86%,,86%,,86%,86%
90%,78%,83%,92%,79%,,,,,96%,,83%,100%,,90%,90%,,,,90%,90%
85%,92%,97%,,,,,,,91%,,80%,98%,,85%,,,85%,,,85%
89%,96%,94%,100%,86%,,,,,93%,,88%,100%,,89%,89%,,89%,,89%,89%
96%,88%,97%,,73%,,,,,85%,,87%,98%,,96%,96%,,96%,,96%,96%
91%,90%,84%,94%,70%,,,,,,,71%,81%,,91%,91%,,91%,,91%,91%
93%,86%,95%,88%,43%,,,,,,,70%,90%,,,93%,,94%,,93%,
85%,84%,86%,94%,57%,,,,,,,81%,87%,,85%,85%,,,,85%,85%
89%,78%,67%,90%,60%,,,,,,,71%,83%,,89%,89%,,,,89%,89%
81%,85%,80%,81%,67%,,,,,,,92%,87%,,81%,81%,,,,81%,81%
76%,88%,89%,94%,67%,,,,,,,76%,98%,,76%,,,,,76%,76%
85%,92%,92%,94%,55%,,,,,82%,,79%,89%,,85%,,,,,85%,85%
91%,88%,82%,96%,17%,,,,,86%,,79%,84%,,91%,91%,,91%,,91%,91%
90%,81%,95%,87%,89%,,,,,94%,,71%,86%,,90%,90%,,90%,,90%,90%
81%,73%,91%,91%,69%,,,,,,,87%,100%,,,81%,,,,81%,81%
82%,97%,73%,95%,80%,,,,,90%,,65%,90%,,,82%,,,,,82%
94%,81%,94%,80%,78%,,,,,82%,,84%,92%,,94%,94%,,94%,,94%,94%
78%,83%,76%,91%,27%,,,,,82%,,78%,94%,,78%,78%,,83%,,78%,78%
90%,89%,93%,82%,44%,,,,,86%,,80%,76%,,90%,90%,,91%,,90%,90%
82%,66%,92%,91%,88%,,,,,92%,,81%,94%,,82%,82%,,,,82%,82%
79%,84%,93%,98%,68%,,,,,,,92%,97%,,79%,79%,,,,79%,79%
88%,92%,95%,93%,70%,,,,,94%,,82%,97%,,88%,88%,,,,,88%
92%,87%,95%,94%,86%,,,,,88%,,94%,94%,,92%,92%,,92%,,92%,92%
91%,92%,81%,97%,82%,,,,,95%,,82%,94%,,,91%,,,,91%,91%
94%,91%,100%,86%,100%,,,,,93%,,78%,97%,,94%,94%,,,,94%,94%
86%,92%,94%,98%,80%,,,,,,,68%,100%,,,86%,,,,,86%
96%,88%,100%,90%,82%,,,,,98%,,78%,100%,,,96%,,95%,,,96%
91%,78%,95%,90%,80%,,,,,99%,,89%,97%,,,91%,,92%,,,91%
88%,95%,94%,97%,93%,,,,,99%,,87%,96%,,88%,88%,,88%,,88%,88%
95%,87%,100%,91%,80%,,,,,94%,,100%,100%,,97%,95%,,95%,,95%,95%
90%,97%,96%,99%,96%,,,,,99%,,94%,96%,,98%,90%,,,,90%,90%
98%,93%,99%,97%,89%,,,,,100%,,100%,100%,,,98%,,98%,,98%,98%
94%,100%,100%,100%,100%,,,,,100%,,89%,100%,,,94%,,,,94%,94%
100%,98%,100%,100%,87%,,,,,100%,,87%,100%,,,100%,,100%,,100%,100%
99%,100%,96%,100%,94%,,,,,99%,,95%,99%,,99%,99%,,99%,,99%,99%
100%,92%,98%,95%,91%,,,,,99%,,100%,100%,,100%,100%,,100%,,100%,100%
94%,99%,100%,99%,87%,,,,,99%,,88%,100%,,98%,94%,,95%,,94%,94%
99%,98%,100%,100%,96%,,,,,100%,,98%,98%,,99%,99%,,,,99%,99%
99%,96%,100%,100%,90%,,,,,97%,,94%,100%,,,99%,,99%,,99%,99%
98%,98%,100%,99%,90%,,,,,,,,99%,,98%,98%,,98%,,98%,98%
99%,97%,96%,100%,88%,,,,,,,,86%,,,99%,,,,99%,99%
99%,92%,98%,94%,0%,,,,,,,,97%,,99%,99%,,99%,,99%,99%
94%,92%,0%,97%,,,,,,,,95%,,,,,,,,94%,94%
95%,0%,,0%,,,,,,99%,,87%,,,96%,95%,,95%,,95%,95%
0%,40%,100%,,93%,,,,,98%,,100%,99%,,0%,0%,,0%,,0%,0%
40%,97%,97%,99%,89%,,,,,99%,,43%,98%,,40%,40%,,40%,,40%,40%
,96%,99%,97%,95%,,,,,,,,99%,,,,,,,,
98%,100%,,100%,43%,,,,,95%,,95%,,,99%,98%,,,,98%,98%
96%,,,,,,,,,96%,,81%,98%,,98%,96%,,96%,,96%,96%
99%,,100%,100%,79%,,,,,86%,,80%,,,,99%,,99%,,99%,99%
43%,94%,,99%,,,,,,100%,,95%,99%,,43%,19%,,43%,,43%,43%
19%,,97%,82%,81%,,,,,89%,,82%,75%,,19%,97%,,19%,,19%,19%
97%,96%,88%,100%,61%,,,,,100%,,100%,100%,,,,,97%,,97%,97%
,70%,100%,89%,96%,,,,,99%,,84%,89%,,,,,,,,
96%,99%,91%,100%,64%,,,,,97%,,83%,100%,,,,,96%,,96%,96%
79%,81%,100%,98%,100%,,,,,97%,,100%,100%,,79%,100%,,80%,,79%,79%
100%,100%,98%,91%,88%,,,,,80%,,87%,96%,,100%,,,100%,,100%,100%
85%,96%,90%,98%,76%,,,,,99%,,92%,97%,,89%,100%,,85%,,85%,85%
100%,87%,97%,88%,91%,,,,,99%,,80%,75%,,100%,97%,,,,100%,
97%,97%,90%,100%,71%,,,,,95%,,93%,100%,,,89%,,97%,,97%,97%
89%,79%,98%,100%,90%,,,,,96%,,90%,99%,,92%,97%,,,,89%,89%
97%,99%,99%,98%,83%,,,,,100%,,86%,96%,,,84%,,97%,,97%,97%
84%,97%,98%,92%,82%,,,,,99%,,93%,90%,,86%,,,86%,,84%,84%
99%,94%,94%,100%,74%,,,,,97%,,93%,100%,,99%,98%,,,,99%,99%
98%,87%,100%,99%,100%,,,,,95%,,92%,98%,,98%,96%,,98%,,98%,98%
96%,100%,100%,97%,91%,,,,,94%,,88%,96%,,,90%,,96%,,96%,96%
90%,97%,97%,94%,87%,,,,,95%,,96%,93%,,95%,100%,,90%,,90%,90%
100%,93%,94%,96%,86%,,,,,100%,,100%,92%,,100%,98%,,100%,,100%,100%
98%,91%,93%,95%,75%,,,,,95%,,89%,94%,,98%,95%,,,,98%,98%
95%,92%,97%,99%,84%,,,,,,,85%,100%,,,93%,,95%,,95%,95%
93%,90%,99%,96%,93%,,,,,,,86%,96%,,95%,93%,,,,93%,93%
93%,97%,95%,100%,94%,,,,,92%,,53%,96%,,93%,94%,,93%,,93%,93%
94%,96%,97%,98%,80%,,,,,90%,,,97%,,94%,,,,,94%,94%
98%,98%,96%,91%,67%,,,,,71%,,,95%,,,96%,,,,98%,98%
96%,90%,95%,90%,83%,,,,,,,,94%,,96%,98%,,,,96%,96%
98%,83%,93%,84%,88%,,,,,,,,81%,,,,,98%,,98%,98%
93%,84%,77%,,36%,,,,,,,,,,93%,90%,,,,93%,93%
90%,65%,,,,,,,,,,,,,,90%,,,,90%,90%
90%,,,,,,,,,,,,,,90%,71%,,,,90%,90%
71%,,,,,,,,,,,,,,71%,,,,,71%,71%
