All Students,Male,Female,General Education Students,Students with Disabilities,American Indian or Alaska Native,Asian or Native Hawaiian/Other Pacific Islander,Black or African American,Hispanic or Latino,White,Multiracial,Economically Disadvantaged,Not Economically Disadvantaged,English Language Learner,NonEnglish Language Learner,Not in Foster Care,Homeless,Not Homeless,Migrant,Not Migrant,Parent Not in Armed Forces
96%,98%,92%,97%,80%,93%,,,83%,94%,,93%,97%,,96%,96%,,,,96%,96%
95%,97%,98%,98%,83%,67%,,,91%,96%,,90%,97%,44%,95%,95%,82%,,,95%,95%
96%,94%,99%,97%,78%,86%,,,,95%,88%,88%,98%,45%,,96%,67%,,,96%,
95%,91%,94%,99%,77%,77%,100%,,,97%,88%,92%,96%,50%,96%,95%,67%,,,95%,95%
96%,98%,83%,81%,72%,92%,90%,,,83%,,95%,78%,69%,96%,96%,,96%,,96%,96%
79%,75%,84%,91%,69%,82%,97%,,,86%,,79%,91%,45%,81%,,,79%,,,
88%,91%,97%,94%,68%,,,,,89%,,86%,96%,67%,88%,88%,,,,88%,88%
88%,81%,90%,91%,50%,,100%,,,86%,,79%,86%,58%,89%,88%,71%,88%,,88%,88%
88%,85%,87%,93%,75%,,,,,89%,,90%,91%,55%,,,,,,88%,88%
88%,88%,87%,93%,69%,94%,80%,,,89%,,84%,90%,65%,,,80%,,,88%,
89%,91%,99%,98%,68%,57%,100%,,91%,96%,,88%,97%,60%,,89%,,,,89%,89%
96%,93%,95%,99%,80%,75%,100%,,100%,97%,,88%,96%,59%,,96%,,96%,,96%,96%
96%,98%,93%,97%,84%,,100%,,,92%,,96%,93%,64%,96%,96%,70%,,,96%,96%
90%,88%,100%,100%,67%,,97%,,,99%,,83%,99%,66%,90%,,83%,90%,,90%,90%
99%,98%,95%,96%,89%,,92%,92%,,92%,,97%,95%,64%,99%,99%,60%,,,99%,99%
91%,88%,96%,98%,78%,,79%,91%,,97%,92%,88%,98%,52%,91%,91%,56%,,,91%,91%
96%,95%,97%,96%,75%,,95%,92%,,92%,,90%,92%,38%,96%,96%,72%,96%,,96%,96%
92%,86%,94%,96%,54%,,,92%,91%,92%,,90%,95%,63%,92%,92%,,92%,,92%,
92%,90%,100%,99%,70%,100%,96%,92%,84%,,78%,85%,100%,65%,92%,92%,,,,92%,92%
98%,95%,90%,85%,93%,,,,,88%,,90%,84%,73%,98%,98%,,,,98%,98%
85%,82%,97%,99%,85%,,,93%,,97%,,86%,97%,53%,86%,,,85%,,85%,85%
96%,95%,98%,98%,83%,,80%,85%,,100%,69%,94%,97%,58%,,96%,20%,,,96%,
97%,97%,100%,93%,94%,,,100%,,,,98%,94%,56%,97%,97%,46%,97%,,97%,97%
94%,88%,100%,99%,100%,,100%,93%,,98%,89%,94%,98%,34%,94%,94%,,94%,,94%,94%
98%,97%,97%,95%,94%,,99%,,,93%,,99%,94%,73%,,98%,,,,98%,98%
92%,88%,91%,93%,75%,94%,98%,100%,,91%,,89%,93%,55%,92%,92%,80%,92%,,92%,92%
89%,88%,96%,95%,78%,,100%,89%,,92%,100%,84%,94%,54%,90%,,92%,90%,,89%,
92%,88%,92%,,76%,,100%,76%,,95%,92%,89%,86%,54%,,,,,,92%,92%
95%,100%,,,,,100%,89%,,,56%,100%,,46%,95%,95%,,95%,,95%,95%
92%,,,,,,100%,93%,,60%,,,,49%,92%,92%,,,,92%,92%
60%,,89%,97%,,63%,,100%,29%,,,,94%,50%,60%,60%,,60%,,60%,60%
89%,90%,,,64%,,100%,75%,,100%,,81%,,60%,89%,89%,,,,89%,89%
100%,,82%,97%,,,,71%,,,,,100%,51%,100%,100%,,100%,,100%,100%
88%,92%,100%,,69%,,100%,,,100%,,75%,100%,,88%,88%,,88%,,88%,88%
100%,100%,93%,98%,,,,,92%,,,100%,90%,,100%,100%,,100%,,100%,100%
93%,93%,83%,93%,79%,,,96%,,,,96%,63%,50%,93%,93%,,93%,,93%,
80%,75%,83%,90%,50%,,100%,70%,,92%,,92%,94%,,80%,80%,,80%,,80%,80%
92%,95%,93%,96%,100%,,,89%,,91%,80%,90%,97%,,92%,92%,,92%,,92%,92%
91%,88%,100%,100%,50%,,100%,,95%,,,82%,100%,,91%,91%,100%,91%,,91%,91%
97%,95%,90%,94%,80%,83%,100%,100%,100%,,,92%,93%,,97%,97%,77%,97%,,,97%
87%,83%,100%,100%,56%,,95%,,,,,84%,100%,,87%,,,,,,87%
93%,88%,98%,95%,67%,,98%,87%,,,,80%,100%,46%,93%,93%,,,,93%,93%
92%,85%,89%,89%,79%,,99%,95%,,85%,,82%,85%,,92%,,67%,,,,92%
85%,81%,100%,,67%,,,94%,,,,85%,100%,,85%,85%,50%,,,,85%
100%,100%,74%,79%,,,,75%,,72%,,100%,74%,,100%,100%,,100%,,100%,100%
72%,70%,89%,95%,50%,,100%,96%,80%,89%,100%,71%,92%,,72%,72%,,,,72%,72%
90%,90%,93%,92%,64%,,98%,96%,,,,87%,86%,,90%,90%,,,,90%,90%
90%,85%,100%,,75%,,86%,98%,83%,,,93%,94%,,90%,90%,,,,90%,90%
94%,85%,94%,96%,,,100%,,,91%,,93%,97%,,94%,94%,86%,94%,,94%,94%
91%,89%,97%,,61%,,98%,93%,,,100%,84%,98%,,91%,91%,,,,91%,91%
97%,97%,93%,96%,,,98%,100%,,97%,,89%,92%,,97%,,66%,97%,,97%,97%
95%,96%,95%,99%,86%,,,,,96%,,97%,96%,,,95%,69%,,,95%,95%
96%,98%,91%,,86%,,,97%,,79%,,97%,91%,80%,96%,96%,67%,96%,,96%,96%
80%,71%,94%,97%,,86%,,,,93%,,71%,97%,64%,,80%,67%,80%,,,80%
93%,92%,85%,87%,69%,,99%,97%,,89%,100%,86%,93%,,93%,,69%,,,93%,93%
87%,89%,89%,89%,88%,,,94%,,,,83%,91%,,87%,87%,81%,,,87%,87%
87%,85%,93%,96%,78%,,99%,92%,94%,94%,,83%,93%,55%,87%,87%,68%,,,87%,87%
93%,93%,91%,92%,82%,,,97%,84%,92%,,94%,98%,,93%,,66%,93%,,93%,93%
92%,92%,90%,93%,86%,,99%,91%,91%,93%,,85%,94%,,92%,92%,76%,,,92%,92%
92%,94%,88%,89%,84%,,97%,,87%,87%,,89%,89%,,,92%,69%,,,92%,92%
85%,82%,96%,97%,50%,,,,88%,,,76%,96%,,85%,85%,77%,85%,,85%,85%
89%,83%,100%,,67%,,100%,,,91%,,73%,91%,,89%,89%,62%,,,89%,89%
93%,87%,100%,,,,95%,,95%,,,94%,,,93%,93%,77%,93%,,93%,93%
95%,92%,,,,,,,95%,,,,,100%,95%,95%,73%,,,95%,95%
100%,,,,,,78%,,100%,,,,,,100%,100%,62%,100%,,100%,100%
,82%,100%,,,,95%,,87%,,100%,80%,100%,,,,63%,,,,
89%,97%,100%,100%,86%,,98%,,83%,,,95%,100%,48%,89%,89%,71%,89%,,89%,89%
98%,93%,97%,97%,75%,,94%,100%,100%,,,90%,98%,,98%,98%,81%,98%,,98%,98%
95%,84%,81%,91%,43%,,92%,,82%,82%,,87%,79%,33%,95%,,67%,95%,,95%,95%
83%,81%,80%,86%,54%,,92%,,71%,79%,,69%,100%,,83%,,76%,83%,,83%,83%
81%,80%,92%,91%,73%,,86%,,85%,,100%,89%,85%,80%,81%,81%,74%,81%,,81%,81%
87%,89%,96%,97%,75%,,91%,,91%,,,95%,92%,46%,87%,87%,89%,87%,,,87%
93%,100%,88%,,,,89%,100%,93%,91%,,100%,80%,,93%,93%,49%,93%,,93%,93%
91%,100%,100%,,,,98%,,,,,100%,100%,,91%,91%,89%,91%,,91%,91%
100%,84%,93%,90%,81%,,88%,,81%,93%,100%,87%,90%,,100%,100%,68%,100%,,100%,100%
88%,84%,92%,95%,61%,,88%,,,89%,92%,89%,88%,,,,71%,,,,88%
88%,87%,93%,95%,65%,,98%,,,90%,92%,85%,94%,33%,88%,88%,87%,,,88%,88%
90%,90%,95%,97%,75%,,96%,81%,,,100%,81%,100%,,90%,90%,71%,,,90%,91%
93%,89%,95%,96%,71%,,89%,82%,87%,92%,100%,86%,98%,,93%,93%,72%,,,93%,93%
92%,94%,94%,97%,79%,,73%,80%,79%,94%,,93%,95%,,,,77%,92%,,92%,89%
94%,94%,98%,99%,71%,,90%,82%,71%,97%,63%,97%,95%,40%,,94%,80%,94%,,94%,94%
96%,94%,95%,97%,80%,,71%,82%,95%,,60%,94%,95%,33%,96%,96%,69%,,,96%,
94%,90%,86%,94%,63%,,91%,79%,91%,,,79%,93%,,94%,94%,100%,94%,,94%,94%
88%,92%,100%,,,,88%,79%,93%,,93%,88%,100%,41%,88%,,,88%,,88%,
95%,94%,96%,97%,89%,,90%,73%,71%,,91%,89%,100%,,95%,95%,93%,95%,,95%,
95%,73%,85%,90%,44%,,96%,80%,91%,76%,60%,68%,96%,,95%,95%,57%,95%,,95%,
79%,90%,93%,95%,71%,82%,78%,86%,95%,90%,97%,85%,97%,,79%,,,,,79%,78%
91%,100%,100%,,,,100%,83%,91%,,88%,100%,100%,80%,91%,91%,,92%,,91%,90%
